Num_Theatres_Widest,Num_Theatres_Opening,Franchise_Raw,Google_Trends,sentiment,metacritics,director_nom,director_win,numNominatedActors,numWinningActors,totNumNom,totNumWins,Adjusted Budget,Adjusted Worldwide,Adjusted Domestic,runtime,male_18_29_ratings,male_30_44_ratings,male_45_plus_ratings,female_18_29_ratings,female_30_44_ratings,female_45_plus_ratings,Adventure,Action,Animation,Family,Science Fiction,Comedy,Drama,Romance,Horror,Mystery,Documentary,Music,Thriller,Crime,War,total_language,total_countries,PG-13,PG,R,G,NC-17,NR,Mon,Tue,Wed,Thurs,Fri,Sat,Sun,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
482,482,0,0,-0.8225,20,0,0,1,0,1,0,21.68523677,0.460208914,-1.017712866,98,5.2,5,4.8,5.9,5.1,5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
826,826,0,1,-0.7096,53,0,0,2,0,3,0,21.68523677,30.96169916,1.926726113,114,7.5,7.2,7,7.7,7.3,7.2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1511,1511,0,0,-0.0516,22,0,0,0,0,0,0,21.73366834,18.36494975,1.418131388,93,5,4.8,5,5.3,5,5.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2335,2308,0,1,-0.1531,48,0,0,0,0,0,0,21.73366834,34.99120603,2.743389858,95,6.3,6,6,6.4,6.1,6.2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2933,2933,0,0,-0.9081,16,0,0,0,0,0,0,21.73366834,56.83354271,2.945331202,94,5.1,4.9,4.9,5.2,5.1,5.2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
258,4,0,0,-0.6597,60,0,0,2,0,2,0,21.73366834,2.173366834,0.776277502,105,7,6.8,6.8,6.8,6.7,6.9,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6,2,0,0,-0.4404,31,0,0,0,0,0,0,21.81588903,0.019088903,-3.958648113,113,5.9,5.4,5.8,6.1,5.9,6.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2473,2473,0,5,-0.3612,43,0,0,0,0,0,0,21.81588903,43.30453972,3.231058564,109,5.6,5.1,5.3,6.2,5.7,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3011,3002,0,0,0.8437,35,0,0,0,0,0,0,21.81588903,33.16015132,2.725963615,106,5.9,5.7,5.7,6.6,6.2,6.3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3049,3049,0,1,-0.8625,47,0,0,0,0,0,0,21.81588903,235.8297604,4.69507198,92,5.7,5.6,5.6,5.8,5.6,5.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
875,875,0,0,0,31,0,0,0,0,0,0,21.81588903,5.017654477,0.269227842,107,5.2,5,5.2,5.8,5.5,5.7,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
